Questions,Answer
What is the prognosis of yaws?,"'The prognosis of yaws depends upon effective treatment so that the patient will not develop complications. If appropriate treatment of yaws takes place before tertiary yaws develops, the prognosis for a possible cure with little or no complications is good. However, if tertiary yaws develops, the prognosis is worsened depending upon the severity of  complications.' "
Is it possible to prevent yaws?,"'There is no vaccine available to prevent yaws. However, the WHO has established a yaws eradication strategy also referred to as the Morges strategy by which the organization has established a goal of eradicating yaws by about 2020. Because this disease is spread by person-to-person transfer and has no animal reservoir, the WHO considers this a realistic goal. Currently, for individuals, ''prevention'' is based on interrupting the transmission of the disease from person to person by practicing good hygiene and by early diagnosis and rapid appropriate treatment with azithromycin to prevent spread in the community.' "
What is a vaginal yeast infection?,"'A vaginal yeast infection is an infection caused by yeast (a type of fungus). Vaginal yeast infection is sometimes referred to as yeast ''vaginitis'', Candidal ''vaginitis'', or Candidal vulvovaginitis. The scientific name for the yeast that causes vaginitis is ''Candida''. Over 90% of vaginal yeast infections are caused by the species known as ''Candida albicans''. Other ''Candida'' species make up the remainder of yeast infections.''Candida'' species can be present in healthy women in the vagina without causing any symptoms. In fact, it is estimated that 20% to 50% of women have ''Candida'' already present in the vagina. For an infection to occur, the normal balance of yeast and bacteria is disturbed, allowing overgrowth of the yeast. While yeast can be spread by sexual contact, vaginal yeast infection is not considered to be a sexually-transmitted disease because it can also occur in women who are not sexually active, due to the fact that yeast can be present in the vagina of healthy women.''Vaginal yeast infections are very common, affecting up to 75% of women at some point in life.' "
Signs and symptoms: How do I know if I have a vaginal yeast infection?,"'Symptoms can include:''The discharge has been described as having a cottage-cheese-like consistency.''Other symptoms of a vaginal yeast infection include:'   a vaginal discharge that is typically thick, odorless, and whitish-gray in color. An intense itching of the vaginal or genital area Irritation and burning Pain during sexual intercourse Pain or burning during urination Redness, irritation, or soreness of the vagina or vulva in women; swelling of the vagina"
What causes a vaginal yeast infection?,"'Vaginal yeast infections occur when new yeast is introduced into the vaginal area, or when there is an increase in the quantity of yeast already present in the vagina relative to the quantity of normal bacteria. For example, when the normal, protective bacteria are eradicated by antibiotics (taken to treat a urinary tract, respiratory, or other types of infection) or by immunosuppressive ''drugs'', the yeast can multiply, invade tissues, and cause irritation of the lining of the vagina (vaginitis).''Vaginal yeast infections can also occur as a result of injury to the inner vagina, such as after ''chemotherapy''. Also, women with suppressed immune systems (for example, those taking cortisone-related medications such as ''prednisone'') develop vaginal yeast infections more frequently than women with normal immunity.''Other conditions that may predispose women to developing vaginal yeast infections include'""The use of douches or perfumed vaginal hygiene sprays may also increase a woman's risk of developing a vaginal yeast infection.""'A vaginal yeast infection is not considered to be a ''sexually transmitted disease'' (STD), since ''Candida'' may be present in the normal vagina, and the condition does occur in celibate women.''However, it is possible for men to develop symptoms of skin irritation of the penis from a yeast infection after sexual intercourse with an infected partner, although this is not always the case.'   diabetes, pregnancy, and taking oral contraceptives."
What may increase my risk of getting a vaginal yeast infection?,"'Women who have conditions that result in decreased immune function are more likely than others to develop yeast infections. These include women with ''cancer'' or receiving ''cancer'' chemotherapy, those with ''diabetes'', and women taking steroid medications.''Pregnant'' women and women taking oral contraceptives are also at increased risk.''Taking antibiotics for any reason can alter the normal bacterial populations in the vagina and predispose to the overgrowth of yeast.''Taking steps to reduce moisture in the genital area can reduce the chances of developing a yeast infection. Wearing cotton underwear or underwear with a cotton crotch, wearing loose-fitting pants, and avoiding prolonged wearing of wet workout gear or bathing suits are all measures that can help control moisture, and may help reduce the chance of getting a yeast infection.' "
Which specialties of doctors treat yeast infections?,"'Primary care practitioners, including family practice physicians, internists, and pediatricians, may all treat yeast infections. In women, a gynecologist may also treat yeast infections.' "
How is a vaginal yeast infection diagnosed?,"'Even though the signs and symptoms of yeast infection may point to the cause, ''vaginal itching'' and discharge can be caused by other conditions including ''bacterial vaginosis'' and ''Trichomonas'' infections. To most accurately make the diagnosis, a sample of the discharge is tested in the laboratory, either by culture or by direct examination under a microscope, to identify the yeast organisms and to help rule out other causes such as bacterial vaginosis or sexually-transmitted diseases.' "
What home remedies can be used for the treatment of vaginal yeast infection?,"'Yeast infection is treated using antifungal drugs. Both prescription and ''over-the-counter'' (OTC) remedies are available that are effective in treating vaginal yeast infections. Nonprescription drugs are the best home remedy for yeast infections, and they can cure most yeast infections. However, homeopathic methods have not been adequately studied for doctors and other health care professionals to recommend them, and anti-''itch'' medications treat only the itching symptoms, but do not treat the underlying cause (yeast infection).'  "
What over-the-counter  (OTC) medications are used for the treatment of vaginal yeast infection?,"'Topical antibiotic (antifungal) treatments (applied directly to the affected area) are available without a prescription. These include vaginal creams, tablets, or suppositories. Regimens vary according to the length of treatment and are typically 1- or 3-day regimens. Recurrent infections may require even longer courses of topical treatment. These topical treatments relieve symptoms and eradicate evidence of the infection in up to 90% of those who complete treatment.''Examples of over-the-counter drugs for yeast infections include:'   clotrimazole (Gyne-Lotrimin, Mycelex) miconazole (Micatin, Monistat) terconazole (Terazol)"
When are prescription medications used for the treatment of vaginal yeast infection?,"'Oral prescription medications, taken in pill or tablet form, can be used to treat recurrent yeast infections or infections that do not respond to topical treatment. ''Fluconazole'' (''Diflucan'') is typically used as the first-choice oral antifungal medicine.''Fluconazole also may be taken as weekly or monthly maintenance for women who have recurrent yeast infections, but it is first necessary to prove by culture that recurrent infections are occurring.''Oral antifungal medications should not be used by pregnant women.''Oral medications also have more side effects, including'   nausea, headache, and abdominal pain, than topical medicines."
What is the treatment for a vaginal yeast infection during pregnancy?,'Yeast infections are common during pregnancy. Pregnant women who develop signs of a yeast infection should see a health care professional. He or she can recommend medications and treatments that are safe during pregnancy. Oral antifungal medications are not recommended for use during some states of pregnancy.' 
Can a man get a yeast infection from his sexual partner?,"'Most experts do not consider yeast infection to be a sexually-transmitted disease, but cases of irritation and itching of the penis in men have been reported after sexual contact with a woman with a yeast infection, so it is possible for an infected woman to spread the infection to her male sex partner. Treatment of male sexual partners is not considered necessary unless the man develops symptoms.'  "
What are the symptoms of a yeast infection in men?,"'Symptoms in men may include itching, burning, and pain at the tip of the penis. Discomfort during urination can also occur. The area may appear reddened or irritated. Symptoms may resemble those of other diseases, including some sexually-transmitted infections (''STDs''), so testing should always be carried out to determine the cause of symptoms in men.' "
What is the treatment for yeast infection in men?,"'Treatment for men, like for women, is based upon antifungal medications. These may be applied as topical creams or taken by mouth in pill or tablet form.' "
How can vaginal yeast infections be prevented?,"'Because yeast can be present normally in the vagina of healthy women, not all yeast infections can be prevented. However, it is possible to take preventive measures that may reduce your risk of getting a yeast infection. These include always cleaning the genital area from front to back and changing out of wet bathing suits or damp clothes as soon as possible. Wearing loose-fitting cotton underwear can help reduce moisture and prevent yeast infections. Since chemical irritants can influence the balance of bacteria in the vagina, avoiding products with potential irritants like douches or scented tampons can also help. Regular baths or showers are an adequate way to cleanse the vagina, and ''douching'' is not recommended and may actually increase your risk of yeast infection.''Some evidence shows that consumption of foods with ''probiotics'' (healthy bacteria that are normally found in the body) like ''probiotic''-containing yogurt may help prevent yeast infections.'  "
What about recurrent yeast infections?,"'A recurrent yeast infection occurs when a woman has four or more infections in one year that are not related to antibiotic use. Recurrent yeast infections may be related to an underlying medical condition such as impaired immunity and may require more aggressive treatment. This can include longer courses of topical treatments, oral medications, or a combination of the two.' "
How can you protect yourself from contracting a yeast infection from your sexual partner?,"'Condoms'' may help prevent transmission of a yeast infection from women to men, but they are not completely effective since there may be contact with areas of the body not covered by the ''condom''.''Avoiding intercourse when a woman has symptoms of a yeast infection is the best way to prevent spreading of the infection.' "
"What are yeast infections and diaper rash in infants, babies, toddlers, and children?","'Yeast infections are infections by fungi (yeast) predominantly of the genus ''Candida'', species ''albicans '""that\xa0may, depending on the health of an individual's immune system, cause superficial infections of\xa0mucocutaneous disease like ""'thrush'', to life-threatening invasive infections.\xa0''Diaper rash'' is a term used to describe ''rashes'' that occur due to wearing a ''diaper'' (here confined to those\xa0worn by ''babies'',\xa0infants, toddlers, and children up to about age 2. Peak incidence in ''diaper rash'' is ages 9-12 months.' "
What is the difference between a yeast infection and diaper rash?,"'Diaper ''rash'' lasting about 3 or more days may be caused by ''Candida ''in about 45%-75% of all diaper\xa0''rashes'' in infants, babies, toddlers, and kids that wear diapers, and is considered Candidal ''diaper dermatitis''\xa0or superficial mucocutaneous fungal infection. Consequently, a superficial ''yeast infection'' and diaper ''rash''\xa0can be the same infection in many infants, babies, toddlers, and children.''\xa0' "
How can you tell if it's a yeast infection or diaper rash?,"'If yeast cells are seen microscopically in diaper rash skin samples or in cultures, the rash is likely due to the fungi; if fungi is not found or cultured, the diaper rash probably has another cause.''\xa0' "
What are the differences in the symptoms and signs of a yeast infection vs. diaper rash?,"'If diaper rash is caused by yeast. There are no significant differences in the signs and symptoms of yeast infections and diaper rash; however, diaper rash caused by yeast is reddish and macerated skin that is painful when touched or rubbed against the diaper, and may extend\xa0past the diaper and include the genitals. About 75% of female babies/young girls may develop vaginal\xa0yeast infections (vulvovaginal ''candidiasis'').' "
What are the differences in the causes of yeast infections and diaper rash?,"'The main cause of most yeast infections are fungi in the genus ''Candida''. Although this genus causes about\xa045%-75% of all diaper rashes, some diaper rashes are caused by:'  Skin overhydration Skin maceration Skin with prolonged contact with urine and feces Diaper soaps 3 or more diarrheal stools per day Biotin deficiency Contact dermatitis Allergic reactions"
What exams or tests diagnose yeast infections and diaper rash?,"'Skin scrapings or biopsy material can be cultured or examined with a microscope after potassium\xa0hydroxide treatment that reveals the fungi, but is seldom used to diagnose diaper rash. Usually, observing\xa0a ''yeast infection'' and/or diaper rash is all that is needed.\xa0' "
What are the treatments for yeast infections and diaper rash?,"'Check with your pediatrician for their recommendations.'  Creams that contain zinc oxide are the first treatments for almost all diaper rash causes.  If yeast are the causes of infection/diaper rash, antifungal treatment (for example, nystatin cream and others) may be used. One percent hydrocortisone cream may reduce discomfort and inflammation.  There are many over-the-counter (OTC) antifungal medications, creams and ointments available."
Can yeast infections or diaper rash be treated at home with natural remedies?," Changing diapers more often and keeping the diaper area clean and dry helps prevent all causes of diaper rash, including yeast.  The chance of a yeast infection decreases when you allow some time for the child to be without a diaper, for example, lying the baby on a dry towel.  Do not use diapers that fit too tightly against the skin.  Over-the-counter home remedies are available, to treat yeast infections, for example, Desitin, A+D ointment, Triple Paste, and Vaseline for both prevention and treatment.  Check with the child’s doctor before using any product on infants, babies, toddlers, and children for yeast infections and diaper rash.  Severe diaper rash and/or yeast infections usually require additional treatments that may include systemic antifungals and even hospitalization."
"Can yeast infections or diaper rashes be dangerous to infants, babies, toddlers, and children?"," In general, most diaper rashes caused by yeast are not dangerous. The exceptions are those individuals; who are immunocompromised because yeast may proliferate and become systemic.  Severe yeast infections and/or diaper rash may lead to skin breaks that allow other organisms to infect the person."
Can yeast infections and diaper rash be cured?,'Yes. Most yeast infections and diaper rash can be cured. However; bad or severe yeast infections in munocompromised individuals may be difficult to cure.' 
What is a yeast infection? What is bacterial vaginosis?,"'A ''yeast infection'' is an infection with any type of yeast. In women, vaginal yeast infections are common. This article will focus on the similarities and differences between vaginal yeast infections and ''bacterial vaginosis'' (BV), another condition of the vagina that causes ''vaginal discharge''.' "
What the causes and risk factors of a yeast infection and bacterial vaginosis?,"'A vaginal ''yeast infection'' usually occurs when the normal balance of yeast and bacteria in the vagina is altered, allowing excessive growth of the yeast. The yeast known as ''Candida'' is the main cause of vaginal yeast infections. Vaginal ''Candidiasis'' is another name for this infection. Suppression of immune function can increase the likelihood of developing yeast infections. Similarly, an abnormal overgrowth or imbalance of the bacteria that are normally present in the vagina cause ''bacterial vaginosis''. BV is not a true infection but rather a disruption in the balance of normal bacteria. BV was formerly referred to as ''Gardnerella ''vaginitis'', because people believed that ''Gardnerella'' bacteria were responsible for the condition.''Risk factors for both BV and ''yeast infection'' can include recent antibiotic use. Other risk factors for a ''yeast infection'' include'""A number of factors can increase a woman's risk of BV, including"" high estrogen levels, pregnancy, uncontrolled diabetes, and suppression of the immune system. multiple or new sex partners, IUD use, vaginal douching, and cigarette smoking."
What are the signs and symptoms of yeast infections and bacterial vaginosis?,"'BV often does not cause specific symptoms. When it does cause symptoms, both BV and yeast infections cause ''vaginal discharge''. With a yeast infection, the discharge is white-gray, thick, and often having the consistency of cottage cheese. Other symptoms of yeast infections include''The discharge typically seen with BV is thinner and grayish-white in color. BV also can cause ''vaginal odor'' and sometimes ''pain'' or irritation.'  intense itching, vaginal burning or irritation, painful intercourse, and pain or burning during urination."
What exams do doctors use to diagnose a yeast infection and bacterial vaginosis?,'Doctors diagnose both yeast infection and BV by examination of a sample of the vaginal discharge in the laboratory. There is also a whiff test for BV that involves testing the vaginal discharge with a chemical that produces a characteristic odor when BV is present.' 
What are treatments and home remedies for yeast infections and bacterial vaginosis?,"'There are no home remedies that can cure either a yeast infection or BV. Prescription and ''over-the-counter'' antifungals (for example, ''miconazole'' and ''fluconazole'') are the most common treatments of yeast infections. Antibiotics (for example, ''metronidazole'' and ''clindamycin'') are the treatment of choice for bacterial vaginosis conditions.' "
What the prognosis of a yeast infection and bacterial vaginosis?,"'Symptoms of both a BV and yeast infection typically resolve once appropriate treatment starts. In both cases, recurrence of the yeast infection or repeat bouts of BV are common. However, they typically do not produce long-term complications.' "
Is it possible to prevent yeast infections and bacterial vaginosis?,"'Careful attention to hygiene may help prevent some yeast infections, as well as changing out of wet bathing suits or damp clothes as soon as possible. Loose-fitting cotton underwear decreases moisture in the genital area and may help prevent yeast infections. Avoidance of vaginal ''douching'"" can also help prevent both conditions. Reducing certain risk factors, such as limiting the number of sex partners and taking all medications as directed when being treated for bacterial vaginosis, can also help reduce a woman's risk of developing bacterial vaginosis. However, it is not possible to completely prevent either condition."" "
What is a yeast infection? What is a urinary tract infection (UTI)?,"'A ''yeast infection'' is an infection with any type of yeast, but people commonly use the term to refer to vaginal yeast infections in women. A yeast known as ''Candida albicans'' typically causes vaginal yeast infections. Vaginal yeast infections are also referred to as vaginal ''Candidiasis''. In contrast, a ''urinary tract infection'' (''UTI'') is not an infection of the vagina but of the urinary tract (the lower urinary tract is made up of the urethra and bladder). Bacteria are the main cause of ''UTIs'', and the most common bacterial cause of a ''UTI'' is ''E. coli''.' "
How do the causes and risk factors of a yeast infection differ from the causes of a UTI?,"'Typically,UTIs occur when bacteria enter the urinary tract at the urethra. This can happen during sexual intercourse in women or due to improper wiping after a bowel movement. A vaginal ''yeast infection'' usually occurs when something alters the normal balance of yeast and bacteria in the vagina, allowing excessive growth of the yeast. Suppression of immune function can increase the likelihood of developing both UTIs and yeast infections. Antibiotic use, ''diabetes'', and impaired immune systems are all possible causes of a yeast infection.' "
Are UTIs and yeast infections contagious?,"'It is possible for a woman to transmit a yeast infection to a male sex partner, even though yeast infection is not considered to be a  ''sexually transmitted disease'' (''STD''). Yeast infections can occur in women who are not sexually active. UTIs are  not ''contagious''.' "
What are the signs and symptoms of yeast infections and UTIs?,"'The most common symptoms of a ''UTI'' include''A mild ''fever'' may be present. Yeast infections are characterized by''Vaginal or vulvar swelling, redness, and soreness may be present.' pain with urination (dysuria), frequent urination, feeling an urgent need to urinate, blood in the urine, and cloudy urine or pus visible in the urine. intense itching, a thick white-gray vaginal discharge  that may resemble cottage cheese, vaginal burning or irritation, painful intercourse, and pain or burning during urination."
What exams do doctors use to diagnose a yeast infection and a UTI?,'Urine tests diagnose a UTI. Abnormalities can appear on a dipstick ''urinalysis'' test that suggest a UTI is present. Sometimes medical professionals take a culture of the urine to determine the type of bacteria causing the infection. A physical exam and an examination of a sample of the vaginal discharge in the laboratory can confirm the presence of a yeast infection.' 
What are treatments and home remedies for yeast infections and UTIs?,"'There are no home remedies that can cure either a yeast infection or a UTI. Prescription antibiotics are required for the treatment of a UTI, and antifungal ''drugs'' are required for treatment of a yeast infection. Some antifungal drugs are available over the counter. Depending on the frequency and duration of yeast infections, your provider will choose different therapies and lengths of treatment.' "
What is the prognosis and duration of a UTI compared to a yeast infection?,"'Both a UTI and yeast infection should resolve rapidly once appropriate treatment has begun. With both conditions, repeat infections or recurrences are common, but long-term complications are very rare.' "
Is it possible to prevent UTIs and yeast infections?,"'Careful attention to hygiene may help prevent some UTIs. This includes always cleaning the genital area from front to back. This practice can also help prevent yeast infections, as well as changing out of wet bathing suits or damp clothes as soon as possible. Loose-fitting cotton underwear can help reduce moisture in the genital area and may help prevent yeast infections. Avoiding products with potential irritants like douches or scented tampons can also help prevent yeast infections. However, it is not possible to completely prevent either condition from developing.' "
What are STDs?,"'STDs'', also termed ''sexually transmitted diseases'', are infections that are mainly transmitted to others during direct sexual contact (genital, anal and/or oral); a few types may be contracted by nonsexual means like needle sticks (for example, ''hepatitis B'', ''AIDS'').' "
What is a yeast infection?,"'A ''yeast infection'' is the invasion and multiplication of a fungus (yeast) in or on the body. Yeast infections are not usually transmitted person to person and are not considered to be an ''STD''. There are three types of yeast infections: \xa0Vaginal ''candidiasis'', ''Thrush'' (oral and ''esophagus'') and Invasive. This article will emphasize the vaginal (genital) type vs ''STDs''.' "
What yeast infections feel like STDs?,"'In women, a vaginal ''yeast infection'' may mimic STDs while in men, a yeast infection of the urethra and/or foreskin may feel like an STD.' "
Which symptoms and signs of yeast infections are similar to STDs?,"'Symptoms of a yeast infection (''itching'', irritation and a thick discharge) that may be similar to the symptoms of STDs.'  Trichomoniasis Herpes Genital warts Gonorrhea Chlamydia"
How do you get a yeast infection or an STD?," Most yeast infections occur when yeast, (Candida albicans, mainly) that are normally present on the body, develop conditions that allow the yeast to proliferate and produce symptoms. STDs are mainly transmitted person to person through sexual contact and occasionally by contaminated items like needles. "
What causes yeast infections vs. STDs?,"'The cause of yeast infections in men and women is most commonly Candida albicans. Women are more likely to get yeast infections (vaginal yeast infections) and develop symptoms.''In contrast, there are multiple causes for STDs:''Some diseases are listed as being STDs while other listings suggest they are incidentally transmitted by sexual contacts; for example, ''scabies'', ''bacterial vaginosis'', ''Molluscum contagiosum'' and others.\xa0'  Trichomoniasis: nematode Trichomonas vaginalis Herpes: Herpes virus Genital warts Human Papillomavirus (HPV) Gonorrhea: Neisseria gonorrhoeae bacteria  Chlamydia: Chlamydia species of intracellular bacteria HIV/AIDS virus Syphilis: Treponema pallidum bacteria Hepatitis viruses Chancroid: Haemophilus ducreyi bacteria Pubic lice: lice insect"
What tests diagnose yeast infections and STDs?,"'Tests to diagnose yeast infections include microscopic visualization of the yeast and/or culture of the fungi. However, blood tests or culture swabs for STDs are often done to prove or diagnose if an individual has an STD.' "
What is the treatment for yeast infections and STDs?,"   The treatment for yeast infections are usually over-the-counter (OTC) creams, ointments or suppositories containing antifungal medication like miconazole or fluconazole in women and mainly creams for men. Treatment for STDs vary depending on the cause of the STD (for example, antivirals for some and antibiotics for other STDs)."
Can condoms protect against yeast infections and STDs?,"'Because most yeast infections are not transmitted person to person, there is little evidence that a ''condom'' can protect against yeast infections. However, ''condoms'' have a good chance to prevent some STDs (estimated to be about 85-98% effective).' "
How long does it take for yeast infections and STDs to heal and cure?," Mild yeast infections may clear in about 3 days. More severe infections may take 1-2 weeks. Almost all yeast infections can be cured. In contrast, STDs time of infection and cure potential vary widely; some, depending on the cause, may last a lifetime and never be cured."
Are there home kits to test for a yeast infection or STD?,"'There are home kits to test for yeast infection (for example, ''Monistat'' Vaginal Health Test). Also, there are separate STD test kits for men and women that claim to be able to detect seven common STDs (for example, Everlywell STD for men).\xa0' "
Are there free or pay for clinics to get tested for yeast infections and STDs?, Free clinics in your area that can test or diagnose yeast vs STDs infections may be located by contacting your local Community Health Center or simply by going to the internet and searching for free clinics in your area. Almost all pay clinics and urgent care centers can test you for yeast infections and STDs. 
What is thrush?,"'Thrush (oropharyngeal candidiasis) is a medical condition in which a yeast-shaped fungus called ''Candida albicans'' (the older and less often used name for ''Candida'' is ''Monilia'') overgrows in the mouth and throat. ''C. albicans '""is normally present in the mouth, digestive tract, and skin of most healthy people. The immune system and the body's normal bacteria usually keep ""'Candida'' in balance. When this balance is interrupted, it can result in an overgrowth of the ''Candida'' fungus, causing thrush, a ''yeast infection'' of the mouth or throat (esophageal candidiasis).''Thrush infection (oral ''yeast infection'') is not the same as a vaginal yeast infection (also called ''moniliasis''). However, the ''Candida'' fungus also causes ''diaper rash'', but ''diaper rash'"" occurs on a child's rear end, genitals, and inner thighs, while ""'oral thrush'' occurs in the mouth and throat. Adults may get candidal infections in areas of overlapping skin, such as underneath breasts or in skin folds like creases in skin due to fatty tissue.'  "
What causes thrush?,"'An overgrowth of the ''Candida'' species of fungus in the mouth or throat is what causes an oral yeast infection. This overgrowth may be triggered to occur when the person experiences changes such as illness, pregnancy, new medications, or changes in the immune system.''Thrush in infants and newborns is relatively common and is only a concern if it causes poor feeding or is associated with ''weight loss'' or other symptoms of systemic illness. Consult a pediatrician if thrush in an infant lasts more than a couple of weeks.' "
What are risk factors for thrush?,"'Healthy adults generally do not get thrush without having some risk factors. Patients with weakened immune systems are most at risk for getting ''fungal infections'' such as thrush. Risk factors associated with thrush include the following:' Illnesses, including poorly controlled diabetes, HIV/AIDS infection, cancer, and dry mouth Pregnancy Taking medications such as antibiotics, corticosteroids, chemotherapy or other cancer drugs, radiation, and birth control pills Having an organ transplant Smoking Poorly fitting dentures Stress"
